Instant,Riders,Season,Month,Hour,Holiday,Weekday,Workday,Weather,Temperature,Humidity,Wind,Year,Day,Date,Month_Name,Season_Name,Day_of_Week,Weather_Name_Type
138,23,1,1,23,0,4,1,2,27,0.59,0.194,2011,6,2011-01-06,Jan,Winter,Thu,Cloudy
139,17,1,1,0,0,5,1,2,27,0.64,0.194,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
140,7,1,1,1,0,5,1,2,27,0.69,0.2239,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
141,1,1,1,2,0,5,1,2,27,0.69,0.2239,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
142,1,1,1,4,0,5,1,2,28,0.69,0.1343,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
143,5,1,1,5,0,5,1,3,36,0.55,0.0,2011,7,2011-01-07,Jan,Winter,Fri,Rainy
144,34,1,1,6,0,5,1,2,34,0.69,0.0,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
145,84,1,1,7,0,5,1,1,28,0.69,0.1343,2011,7,2011-01-07,Jan,Winter,Fri,Sunny
146,210,1,1,8,0,5,1,1,27,0.51,0.2537,2011,7,2011-01-07,Jan,Winter,Fri,Sunny
147,134,1,1,9,0,5,1,1,25,0.47,0.2985,2011,7,2011-01-07,Jan,Winter,Fri,Sunny
148,63,1,1,10,0,5,1,1,27,0.37,0.3284,2011,7,2011-01-07,Jan,Winter,Fri,Sunny
149,67,1,1,11,0,5,1,2,27,0.4,0.2239,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
150,59,1,1,12,0,5,1,2,27,0.37,0.2537,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
151,73,1,1,13,0,5,1,2,25,0.37,0.2836,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
152,50,1,1,14,0,5,1,2,27,0.4,0.2537,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
153,72,1,1,15,0,5,1,2,28,0.37,0.1642,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
154,87,1,1,16,0,5,1,2,28,0.37,0.1642,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
155,187,1,1,17,0,5,1,2,34,0.37,0.0,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
156,123,1,1,18,0,5,1,1,30,0.4,0.0896,2011,7,2011-01-07,Jan,Winter,Fri,Sunny
157,95,1,1,19,0,5,1,1,27,0.55,0.0896,2011,7,2011-01-07,Jan,Winter,Fri,Sunny
158,51,1,1,20,0,5,1,1,28,0.47,0.1045,2011,7,2011-01-07,Jan,Winter,Fri,Sunny
159,39,1,1,21,0,5,1,1,27,0.47,0.1343,2011,7,2011-01-07,Jan,Winter,Fri,Sunny
160,36,1,1,22,0,5,1,2,27,0.43,0.1642,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
161,15,1,1,23,0,5,1,2,27,0.51,0.1642,2011,7,2011-01-07,Jan,Winter,Fri,Cloudy
162,25,1,1,0,0,6,0,2,27,0.51,0.1642,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
163,16,1,1,1,0,6,0,2,28,0.55,0.0896,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
164,16,1,1,2,0,6,0,2,32,0.55,0.0,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
165,7,1,1,3,0,6,0,3,27,0.55,0.1642,2011,8,2011-01-08,Jan,Winter,Sat,Rainy
166,1,1,1,4,0,6,0,3,27,0.55,0.1642,2011,8,2011-01-08,Jan,Winter,Sat,Rainy
167,5,1,1,5,0,6,0,2,23,0.74,0.1642,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
168,2,1,1,6,0,6,0,2,23,0.74,0.1642,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
169,9,1,1,7,0,6,0,2,25,0.74,0.1045,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
170,15,1,1,8,0,6,0,3,25,0.93,0.1045,2011,8,2011-01-08,Jan,Winter,Sat,Rainy
171,20,1,1,9,0,6,0,3,25,0.93,0.1045,2011,8,2011-01-08,Jan,Winter,Sat,Rainy
172,61,1,1,10,0,6,0,2,27,0.8,0.1642,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
173,62,1,1,11,0,6,0,2,25,0.69,0.3881,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
174,98,1,1,12,0,6,0,2,25,0.59,0.3582,2011,8,2011-01-08,Jan,Winter,Sat,Cloudy
175,102,1,1,13,0,6,0,1,25,0.44,0.3284,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
176,95,1,1,14,0,6,0,1,23,0.32,0.4925,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
177,74,1,1,15,0,6,0,1,23,0.32,0.4478,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
178,76,1,1,16,0,6,0,1,19,0.29,0.4478,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
179,69,1,1,17,0,6,0,1,18,0.37,0.5522,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
180,55,1,1,18,0,6,0,1,18,0.39,0.2985,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
181,30,1,1,19,0,6,0,1,18,0.36,0.2537,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
182,28,1,1,20,0,6,0,1,18,0.36,0.2537,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
183,37,1,1,21,0,6,0,1,16,0.39,0.3582,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
184,34,1,1,22,0,6,0,1,16,0.36,0.3881,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
185,22,1,1,23,0,6,0,1,10,0.39,0.4478,2011,8,2011-01-08,Jan,Winter,Sat,Sunny
186,25,1,1,0,0,0,0,1,12,0.42,0.3881,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
187,12,1,1,1,0,0,0,1,10,0.42,0.4627,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
188,11,1,1,2,0,0,0,1,10,0.46,0.4627,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
189,4,1,1,3,0,0,0,1,12,0.46,0.4179,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
190,1,1,1,4,0,0,0,1,14,0.53,0.194,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
191,1,1,1,5,0,0,0,1,14,0.53,0.194,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
192,1,1,1,6,0,0,0,1,14,0.49,0.2836,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
193,6,1,1,7,0,0,0,1,14,0.53,0.194,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
194,10,1,1,8,0,0,0,1,14,0.49,0.2836,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
195,19,1,1,9,0,0,0,1,12,0.46,0.5224,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
196,49,1,1,10,0,0,0,1,16,0.43,0.3881,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
197,49,1,1,11,0,0,0,1,18,0.4,0.5224,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
198,83,1,1,12,0,0,0,1,19,0.37,0.4478,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
199,75,1,1,13,0,0,0,1,23,0.34,0.4478,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
200,72,1,1,14,0,0,0,1,25,0.32,0.4627,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
201,82,1,1,15,0,0,0,1,27,0.35,0.3582,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
202,92,1,1,16,0,0,0,1,23,0.34,0.4478,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
203,62,1,1,17,0,0,0,1,21,0.37,0.3881,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
204,48,1,1,18,0,0,0,1,19,0.4,0.3284,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
205,41,1,1,19,0,0,0,1,19,0.43,0.3284,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
206,38,1,1,20,0,0,0,1,18,0.46,0.2537,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
207,20,1,1,21,0,0,0,1,16,0.46,0.4179,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
208,15,1,1,22,0,0,0,1,18,0.46,0.2985,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
209,6,1,1,23,0,0,0,1,19,0.5,0.194,2011,9,2011-01-09,Jan,Winter,Sun,Sunny
210,5,1,1,0,0,1,1,1,18,0.5,0.2836,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
211,1,1,1,1,0,1,1,1,18,0.5,0.2836,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
212,3,1,1,2,0,1,1,1,18,0.5,0.2239,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
213,1,1,1,3,0,1,1,1,18,0.5,0.2239,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
214,3,1,1,4,0,1,1,1,18,0.54,0.1343,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
215,3,1,1,5,0,1,1,1,16,0.54,0.2537,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
216,31,1,1,6,0,1,1,1,18,0.5,0.2836,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
217,77,1,1,7,0,1,1,1,18,0.5,0.2239,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
218,188,1,1,8,0,1,1,2,18,0.5,0.2836,2011,10,2011-01-10,Jan,Winter,Mon,Cloudy
219,94,1,1,9,0,1,1,2,18,0.5,0.2537,2011,10,2011-01-10,Jan,Winter,Mon,Cloudy
220,31,1,1,10,0,1,1,2,18,0.5,0.2985,2011,10,2011-01-10,Jan,Winter,Mon,Cloudy
221,30,1,1,11,0,1,1,2,19,0.47,0.2836,2011,10,2011-01-10,Jan,Winter,Mon,Cloudy
222,52,1,1,12,0,1,1,2,25,0.4,0.2836,2011,10,2011-01-10,Jan,Winter,Mon,Cloudy
223,54,1,1,13,0,1,1,2,25,0.4,0.2836,2011,10,2011-01-10,Jan,Winter,Mon,Cloudy
224,47,1,1,14,0,1,1,2,27,0.4,0.2239,2011,10,2011-01-10,Jan,Winter,Mon,Cloudy
225,45,1,1,15,0,1,1,2,27,0.4,0.2239,2011,10,2011-01-10,Jan,Winter,Mon,Cloudy
226,74,1,1,16,0,1,1,1,28,0.4,0.1343,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
227,178,1,1,17,0,1,1,1,30,0.4,0.1045,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
228,155,1,1,18,0,1,1,1,27,0.4,0.2239,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
229,95,1,1,19,0,1,1,1,23,0.47,0.1642,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
230,74,1,1,20,0,1,1,1,23,0.5,0.1642,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
231,38,1,1,21,0,1,1,1,19,0.59,0.194,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
232,24,1,1,22,0,1,1,1,21,0.59,0.1642,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
233,18,1,1,23,0,1,1,1,21,0.59,0.1642,2011,10,2011-01-10,Jan,Winter,Mon,Sunny
234,12,1,1,0,0,2,1,1,23,0.59,0.1045,2011,11,2011-01-11,Jan,Winter,Tue,Sunny
235,3,1,1,1,0,2,1,1,21,0.59,0.1642,2011,11,2011-01-11,Jan,Winter,Tue,Sunny
236,3,1,1,2,0,2,1,2,21,0.55,0.194,2011,11,2011-01-11,Jan,Winter,Tue,Cloudy
237,6,1,1,5,0,2,1,2,25,0.55,0.1343,2011,11,2011-01-11,Jan,Winter,Tue,Cloudy
238,27,1,1,6,0,2,1,2,25,0.55,0.1343,2011,11,2011-01-11,Jan,Winter,Tue,Cloudy
